name,gender,wikidata,type
"Rue de Bruxelles",,Q239,way
"Aire de Glain",,,way
Al'rodje-Creû,,,way
Al'rodje-creu,,,way
"Allée Bietîmé",,,way
"Allée Edgard D'Hont",,,way
"Allée Frédéric Chopin",,,way
"Allée Grande Hollande",,,way
"Allée Pillechoulle",,,way
"Allée Rohan-Chabot",,,way
"Allée de l'Absent",,,way
"Allée de l'Innovation",,,way
"Allée de la Cense Rouge",,,way
"Allée de la Cense Rouge - Rue del Rodje Cinse",,,way
"Allée de la Découverte",,,way
"Allée de la Physique",,,way
"Allée des Abbesses",,,way
"Allée des Érables",,,way
"Allée des Noisetiers",,,way
"Allée des Platanes",,,way
"Allée des Ploktrèsses",,,way
"Allée des Princes de Léon",,,way
"Allée des Ramons",,,way
"Allée des Rouges-Gorges",,,way
"Allée du Baron Amédée",,,way
"Allée du Bol d'Air",,,way
"Allée du Six Août",,,way
"Allée du château",,,way
"Årvô de la Chartreuse",,,way
"Au Palô",,,way
"Au Pèrî",,,way
"Au Soleil",,,way
"Aux Piedroux",,,way
"Avenue Albert 1er",,,way
"Avenue Albert Mahiels",,,way
"Avenue Blonden",,,way
"Avenue Brigade Piron",,,way
"Avenue Cardinal Mercier",,,way
"Avenue Constantin de Gerlache",,,way
"Avenue Dieudonné Lambrecht",,,way
"Avenue Emile Digneffe",,,way
"Avenue Emile Jenissen",,,way
"Avenue Francisco Ferrer",,,way
"Avenue Freddy Terwagne",,,way
"Avenue Georges Truffaut",,,way
"Avenue Henri Borguet",,,way
"Avenue Henri Lonay",,,way
"Avenue Henri Piedboeuf",,,way
"Avenue Henri-Warnant",,,way
"Avenue Hippocrate",,,way
"Avenue Jean Hans",,,way
"Avenue Joseh Prevers",,,way
"Avenue Joseph Merlot",,,way
"Avenue Joseph Prévers",,,way
"Avenue Maurice Destenay",,,way
"Avenue Olympe Gilbart",,,way
"Avenue Reine Élisabeth",,,way
"Avenue Rogier",,,way
"Avenue Sluysmans",,,way
"Avenue Victor Hugo",,,way
"Avenue d'Aix-la-Chapelle",,,way
"Avenue de Beaumont",,,way
"Avenue de Cointe",,,way
"Avenue de Cologne",,,way
"Avenue de Fontainebleau",,,way
"Avenue de Jupille",,,way
